timestamps,TP9,AF7,AF8,TP10,Right AUX
1605307745.596,72.266,-18.555,-68.848,20.508,0.000
1605307745.600,-73.730,-41.504,-77.637,-43.457,0.000
1605307745.604,-174.316,-66.406,-83.984,-78.613,0.000
1605307745.608,-91.309,-21.973,-75.195,-35.156,0.000
1605307745.612,128.418,37.598,-12.695,86.914,0.000
1605307745.616,150.391,6.348,-32.715,78.613,0.000
1605307745.620,-50.781,-56.641,-103.516,-29.785,0.000
1605307745.623,-178.223,-85.449,-91.309,-67.383,0.000
1605307745.627,-113.770,-42.969,-73.730,-40.527,0.000
1605307745.631,69.336,18.066,-51.270,29.785,0.000
1605307745.635,112.305,6.836,-57.129,40.527,0.000
1605307745.639,-32.715,-56.152,-85.449,-27.344,0.000
1605307745.643,-156.738,-53.223,-90.332,-80.566,0.000
1605307745.647,-95.703,-8.301,-62.012,-44.434,0.000
1605307745.651,70.801,-0.977,-32.227,42.480,0.000
1605307745.655,119.141,-25.391,-41.504,52.734,0.000
1605307745.659,9.766,-44.434,-75.195,-0.488,0.000
1605307745.663,-166.504,-68.848,-106.445,-74.707,0.000
1605307745.666,-117.676,-37.598,-16.602,-31.250,0.000
1605307745.670,133.789,14.648,66.406,112.793,0.000
1605307745.674,134.766,-1.953,-22.461,53.223,0.000
1605307745.678,-2.441,-19.531,-54.688,-34.180,0.000
1605307745.682,-141.113,-48.828,-54.199,-58.105,0.000
1605307745.686,-149.414,-51.270,-51.758,-69.336,0.000
1605307745.690,14.160,-4.395,-29.785,-8.301,0.000
1605307745.694,117.676,18.555,-30.273,41.992,0.000
1605307745.698,30.273,-17.090,-52.734,3.418,0.000
1605307745.702,-131.348,-59.570,-93.750,-77.148,0.000
1605307745.705,-46.387,16.602,17.578,15.625,0.000
1605307745.709,121.582,65.918,72.266,97.656,0.000
1605307745.713,124.023,6.836,-22.461,42.969,0.000
1605307745.717,41.992,-30.273,-61.035,-2.441,0.000
1605307745.721,-99.609,-50.781,-79.590,-52.734,0.000
1605307745.725,-152.344,-46.387,-60.059,-54.688,0.000
1605307745.729,-35.156,-14.160,-32.227,-12.695,0.000
1605307745.733,113.770,-3.418,-23.438,36.621,0.000
1605307745.737,64.453,-8.301,-35.645,18.555,0.000
1605307745.741,-95.215,-24.414,-34.668,-51.270,0.000
